feature,weight
thank,7.574746820710274
pregnant,6.120649383635942
feel,5.558029983419627
content thank,4.92684772997681
medical content,4.304285672022202
medical,4.285474040619152
definitely,4.166076349796384
married,4.155204419229454
especially,4.075157868394606
sorry,3.811055310663386
mental,3.7181742539078257
abusive,3.6221973632018765
mental content,3.62186996210775
cute,3.436436258875651
really,3.391462167876489
having,3.2819823419461955
love,3.2029123215517528
super,3.180676871849399
did,3.1305433759044536
healthy,3.118381885482859
