model,setting,accuracy,macro_f1
MultinomialNB,original,0.8124378933421663,0.8098043373526147
MultinomialNB,leakage_masked,0.8023352103345479,0.8008724748840571
MultinomialNB,noun_masked,0.7981947664789666,0.7930556927075887
LogisticRegression,original,0.8382742630009937,0.8371006609922722
LogisticRegression,leakage_masked,0.8239483272606823,0.8228934052621215
LogisticRegression,noun_masked,0.8074693607154687,0.8061157974844504
LinearSVM,original,0.8451473998012587,0.8440214647205946
LinearSVM,leakage_masked,0.831566743954952,0.8305134174538684
LinearSVM,noun_masked,0.799850944021199,0.7985538834880597
